Species,Family,Genus,BioStatus,PlantType,Palatibility,GrowthForm,VernacularNames,ThreatenedStatus,NumPlots,NumObs,Cover,CoverCombined
Raoulia monroi,Compositae,Raoulia,Indigenous Endemic,Vascular,Unclassified,SubShrub,,Nationally Vulnerable,12,14,0.0000,0.0000
Raoulia parkii,Compositae,Raoulia,Indigenous Endemic,Vascular,Unclassified,SubShrub,,Declining,65,68,0.0000,0.0001
Raoulia petriensis,Compositae,Raoulia,Indigenous Endemic,Vascular,Unclassified,SubShrub,,Naturally Uncommon,6,6,0.0000,0.0000
Raoulia rubra,Compositae,Raoulia,Indigenous Endemic,Vascular,Unclassified,SubShrub,,Naturally Uncommon,1,1,0.0000,0.0000
Raoulia subsericea,Compositae,Raoulia,Indigenous Endemic,Vascular,Unclassified,SubShrub,Turf mat daisy;,Not Threatened,236,289,0.0000,0.0001
Raoulia subsericea x parkii,Compositae,Raoulia,Unknown,Vascular,Unclassified,SubShrub,,Not threatened (assumed),0,0,0.0000,0.0000
Raoulia subulata,Compositae,Raoulia,Indigenous Endemic,Vascular,Unclassified,SubShrub,,Not Threatened,852,869,0.0000,0.0014
Raoulia subulata x youngii,,,Indigenous Endemic,Vascular,Unclassified,SubShrub,,Unknown,0,0,0.0000,0.0000
Raoulia tagname Reay,,,Unknown,Vascular,Unclassified,SubShrub,,Unknown,0,0,0.0000,0.0000
Raoulia tagname godley,,,Unknown,Vascular,Unclassified,SubShrub,,Unknown,0,0,0.0000,0.0000
Raoulia tenuicaulis,Compositae,Raoulia,Indigenous Endemic,Vascular,Unclassified,SubShrub,Mat daisy; Tut?huna;,Not Threatened,338,346,0.0000,0.0005
Raoulia youngii,Compositae,Raoulia,Indigenous Endemic,Vascular,Unclassified,SubShrub,,Not Threatened,13,15,0.0000,0.0000
Raphanus raphanistrum,Cruciferae,Raphanus,Exotic,Vascular,Unclassified,Forb,Jointed charlock; sea radish; wild radish;,Not threatened (assumed),4,5,0.0000,0.0000
Raphanus sativus,Cruciferae,Raphanus,Exotic,Vascular,Unclassified,Forb,radish;,Not threatened (assumed),0,0,0.0000,0.0000
Raukaua anomalus,Araliaceae,Pseudopanax,Indigenous Endemic,Vascular,Unclassified,Shrub,,Not Threatened,749,1091,0.0009,0.0006
Raukaua anomalus x simplex,,,Indigenous Endemic,Vascular,Unclassified,WoodyMixed,,Unknown,0,0,0.0000,0.0000
Raukaua edgerleyi,Araliaceae,Nothopanax,Indigenous Endemic,Vascular,Preferred,Tree,Raukawa;,Not Threatened,439,595,0.0008,0.0006
Raukaua simplex,Araliaceae,Neopanax,Indigenous Endemic,Vascular,Not Selected,Tree,Haumak?roa; Haumak?roa; Haumang?roa;,Not Threatened,2823,4814,0.0051,0.0035
Raukaua simplex var. simplex,Araliaceae,Raukaua,Indigenous Endemic,Vascular,Not Selected,Tree,Haumak?roa;,Not threatened (assumed),0,0,0.0000,0.0000
Raukaua simplex var. sinclairii,Araliaceae,Neopanax,Indigenous Endemic,Vascular,Not Selected,Tree,,Not threatened (assumed),0,0,0.0000,0.0000
Raukaua xparvus,Araliaceae,Raukaua,Indigenous Endemic,Vascular,Unclassified,Shrub,,Not threatened (assumed),2,2,0.0000,0.0000
Reseda luteola,Resedaceae,Reseda,Exotic,Vascular,Unclassified,Forb,Dyer's rocket; Wild mignonette;,Not threatened (assumed),8,9,0.0000,0.0000
Rexiella fuliginosa,Cladoniaceae,Cladia,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rexiella sullivanii,Cladoniaceae,Cladia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),3,3,0.0000,0.0000
Rhabdothamnus solandri,Gesneriaceae,Rhabdothamnus,Indigenous Endemic,Vascular,Avoided,Shrub,Kaikaiatua; Kaikai-atua; m?t?; m?t?t?; New Zealand gloxinia; Taurepo; Wai?atua;,Not Threatened,101,145,0.0000,0.0001
Rhacocarpus purpurascens,Rhacocarpaceae,Rhacocarpus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhamnus alaternus,Rhamnaceae,Rhamnus,Exotic,Vascular,Unclassified,Shrub,Evergreen buckthorn; Italian buckthorn;,Not threatened (assumed),4,4,0.0000,0.0000
Rhamnus glaucophylla,Rhamnaceae,Rhamnus,Exotic,Vascular,Unclassified,Shrub,,Not threatened (assumed),2,2,0.0000,0.0000
Rhaphidorrhynchium amoenum,Sematophyllaceae,Rhaphidorrhynchium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),4,4,0.0000,0.0000
Rhaphiolepis bibas,Rosaceae,Eriobotrya,Exotic,Vascular,Unclassified,Tree,Chinese medlar; Japanese medlar; Loquat;,Not threatened (assumed),2,3,0.0000,0.0000
Rhaphiolepis umbellata,Rosaceae,Rhaphiolepis,Exotic,Vascular,Unclassified,Shrub,sexton's bride; Yedda hawthorn; Yeddo hawthorn;,Not threatened (assumed),0,0,0.0000,0.0000
Rhizocarpon candidum,Rhizocarpaceae,Rhizocarpon,Unknown,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhizocarpon distinctum,Rhizocarpaceae,Rhizocarpon,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhizocarpon geographicum,Rhizocarpaceae,Rhizocarpon,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),105,105,0.0000,0.0000
Rhizocarpon purpurescens,Rhizocarpaceae,Rhizocarpon,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhizocarpon reductum,Rhizocarpaceae,Rhizocarpon,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Rhizogonium distichum,Rhizogoniaceae,Rhizogonium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhizogonium novae-hollandiae,Rhizogoniaceae,Rhizogonium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhizogonium pennatum,Rhizogoniaceae,Rhizogonium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhododendron ponticum,Ericaceae,Rhododendron,Exotic,Vascular,Unclassified,Shrub,,Not threatened (assumed),0,0,0.0000,0.0000
Rhopalostylis baueri,Palmae,Rhopalostylis,Indigenous Non-Endemic,Vascular,Unclassified,Palm,Kermadec Island nikau;,Naturally Uncommon,0,0,0.0000,0.0000
Rhopalostylis sapida,Palmae,Rhopalostylis,Indigenous Endemic,Vascular,Unclassified,Palm,Feather duster palm; N?kau; Nikau palm;,Not Threatened,1447,1822,0.0140,0.0096
Rhus typhina,Anacardiaceae,Rhus,Exotic,Vascular,Unclassified,Shrub,staghorn sumac; Stag's horn sumac; Velvet sumac; Virginian sumac;,Not threatened (assumed),1,1,0.0000,0.0000
Rhynchospora globularis,Cyperaceae,Rhynchospora,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Rhynchostegium laxatum,Brachytheciaceae,Rhynchostegium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhynchostegium muriculatum,Brachytheciaceae,Eurhynchium,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhynchostegium tenuifolium,Brachytheciaceae,Rhynchostegium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rhytidiadelphus squarrosus,Hylocomiaceae,Rhytidiadelphus,Exotic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Ribes nigrum,Grossulariaceae,Ribes,Exotic,Vascular,Unclassified,Shrub,black currant;,Not threatened (assumed),0,0,0.0000,0.0000
Ribes rubrum,Grossulariaceae,Ribes,Exotic,Vascular,Unclassified,Shrub,red currant;,Not threatened (assumed),0,0,0.0000,0.0000
Ribes sanguineum,Grossulariaceae,Ribes,Exotic,Vascular,Unclassified,Shrub,flowering currant;,Not threatened (assumed),2,2,0.0000,0.0000
Ribes uva-crispa,Grossulariaceae,Ribes,Exotic,Vascular,Unclassified,Shrub,Gooseberry;,Not threatened (assumed),45,55,0.0000,0.0000
Riccardia aequicellularis,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia aff. cochleata,,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Unknown,0,0,0.0000,0.0000
Riccardia alcicornis,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia asperulata,Aneuraceae,Riccardia,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia bipinnatifida,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia browniae,Aneuraceae,Riccardia,Unknown,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia cochleata,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia colensoi,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia crassa,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia eriocaula,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia filicina,Aneuraceae,Riccardia,Indigenous Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia furtiva,Aneuraceae,Riccardia,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia lobulata,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia marginata,Aneuraceae,Riccardia,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia nitida,Aneuraceae,Riccardia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia pallidevirens,Aneuraceae,Riccardia,Unknown,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia papulosa,Aneuraceae,Riccardia,Indigenous Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia pennata,Aneuraceae,Riccardia,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia perspicua,Aneuraceae,Riccardia,Indigenous Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia pseudodendroceros,Aneuraceae,Riccardia,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Riccardia wattsiana,Aneuraceae,Riccardia,Unknown,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Ricciocarpos natans,Ricciaceae,Ricciocarpos,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Ricinus communis,Euphorbiaceae,Ricinus,Exotic,Vascular,Unclassified,Tree,Castor bean; Castor oil plant; Maple weed;,Not threatened (assumed),0,0,0.0000,0.0000
Rinodina immersa,Physciaceae,Rinodina,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rinodina thiomela,Physciaceae,Rinodina,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Ripogonum scandens,Ripogonaceae,Ripogonum,Indigenous Endemic,Vascular,Preferred,Vine,Akapirita; Kakareao; Kakarewao; kareao; Karewao; Kekereao; Pirita; Supplejack; Taiore;,Not Threatened,2428,4040,0.0094,0.0065
Robinia pseudoacacia,Leguminosae,Robinia,Exotic,Vascular,Unclassified,Tree,Bastard acacia; Black locust; False acacia;,Not threatened (assumed),0,0,0.0000,0.0000
Roccellinastrum neglectum,Micareaceae,Roccellinastrum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Roldana petasitis,Compositae,Roldana,Exotic,Vascular,Unclassified,Shrub,,Not threatened (assumed),0,0,0.0000,0.0000
Romulea minutiflora,Iridaceae,Romulea,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Romulea rosea,Iridaceae,Romulea,Exotic,Vascular,Unclassified,Graminoid,Onion grass;,Not threatened (assumed),0,0,0.0000,0.0000
Rorippa amphibia,Cruciferae,Rorippa,Exotic,Vascular,Unclassified,Forb,Marsh yellow cress; Tall yellow cress;,Not threatened (assumed),1,1,0.0000,0.0000
Rorippa divaricata,Cruciferae,Rorippa,Indigenous Endemic,Vascular,Unclassified,Forb,Matangoa;,Nationally Vulnerable,1,1,0.0000,0.0000
Rorippa palustris,Cruciferae,Rorippa,Indigenous Non-Endemic,Vascular,Unclassified,Forb,H?nea; K?whitiwhiti; Marsh yellow cress; Panapana; Poniu;,Not Threatened,8,9,0.0000,0.0000
Rorippa sylvestris,Cruciferae,Rorippa,Exotic,Vascular,Unclassified,Forb,Creeping yellow cress;,Not threatened (assumed),3,3,0.0000,0.0000
Rosa canina,Rosaceae,Rosa,Exotic,Vascular,Unclassified,Shrub,Common brier; Dog rose;,Not threatened (assumed),2,2,0.0000,0.0000
Rosa chinensis,Rosaceae,Rosa,Unknown,Vascular,Unclassified,Shrub,Bengal rose; China rose;,Not threatened (assumed),1,1,0.0000,0.0000
Rosa multiflora,Rosaceae,Rosa,Exotic,Vascular,Unclassified,Shrub,Baby rose; Japanese rose; Multiflora rose;,Not threatened (assumed),1,1,0.0000,0.0000
Rosa rubiginosa,Rosaceae,Rosa,Exotic,Vascular,Unclassified,Shrub,Apple-scented rose; Eglantine; Mihinare; Sweet brier;,Not threatened (assumed),870,971,0.0027,0.0019
Rosa rugosa,Rosaceae,Rosa,Exotic,Vascular,Unclassified,Shrub,Japanese rose; Ramanas rose; Rugosa rose; Turkestan rose;,Not threatened (assumed),2,2,0.0000,0.0000
Rostkovia magellanica,Juncaceae,Rostkovia,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,18,18,0.0000,0.0001
Rostraria cristata,Gramineae,Rostraria,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Rosulabryum billardierei,Bryaceae,Bryum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),5,5,0.0000,0.0000
Rosulabryum campylothecium,Bryaceae,Bryum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rosulabryum capillare,Bryaceae,Bryum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),6,6,0.0000,0.0000
Rosulabryum perlimbatum,Bryaceae,Rosulabryum,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rosulabryum subtomentosum,Bryaceae,Bryum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Rubus argutus,Rosaceae,Rubus,Exotic,Vascular,Not Selected,SubShrub,blackberry;,Not threatened (assumed),1,1,0.0000,0.0000
Rubus australis,Rosaceae,Rubus,Indigenous Endemic,Vascular,Not Selected,Vine,Bush lawyer; Swamp lawyer; Taraheke; Taramoa; T?taraheke; T?tar?moa; T?tar?moa-turuhunga;,Not Threatened,391,561,0.0004,0.0003
Rubus cissoides,Rosaceae,Rubus,Indigenous Endemic,Vascular,Not Selected,Vine,Bush lawyer; Pataramoa; Taraheke; Taramoa; T?taraheke; T?tar?moa;,Not Threatened,2242,3452,0.0041,0.0028
Rubus echinatus,Rosaceae,Rubus,Exotic,Vascular,Not Selected,SubShrub,blackberry;,Not threatened (assumed),0,0,0.0000,0.0000
Rubus fruticosus,Rosaceae,Rubus,Exotic,Vascular,Not Selected,SubShrub,blackberry;,Not threatened (assumed),272,347,0.0000,0.0012
Rubus idaeus,Rosaceae,Rubus,Exotic,Vascular,Not Selected,SubShrub,raspberry;,Not threatened (assumed),0,0,0.0000,0.0000
Rubus laciniatus,Rosaceae,Rubus,Exotic,Vascular,Not Selected,SubShrub,cut-leaved blackberry;,Not threatened (assumed),2,2,0.0000,0.0000
Rubus parvus,Rosaceae,Rubus,Indigenous Endemic,Vascular,Not Selected,SubShrub,Creeping lawyer;,Not Threatened,8,8,0.0000,0.0000
Rubus parvus x schmidelioides,Rosaceae,Rubus,Unknown,Vascular,Not Selected,SubShrub,,Not threatened (assumed),0,0,0.0000,0.0000
Rubus phoenicolasius,Rosaceae,Rubus,Exotic,Vascular,Not Selected,SubShrub,Japanese wineberry;,Not threatened (assumed),3,4,0.0000,0.0000
Rubus rosifolius,Rosaceae,Rubus,Exotic,Vascular,Not Selected,SubShrub,Mauritius raspberry; strawberry-raspberry; Strawberry-raspberry (NZ);,Not threatened (assumed),1,1,0.0000,0.0000
Rubus schmidelioides,Rosaceae,Rubus,Indigenous Endemic,Vascular,Not Selected,Vine,Bush lawyer; T?tar?moa; White-leaved lawyer;,Not threatened (assumed),532,621,0.0010,0.0007
Rubus schmidelioides var. schmidelioides,Rosaceae,Rubus,Indigenous Endemic,Vascular,Not Selected,Vine,,Not Threatened,0,0,0.0000,0.0000
Rubus schmidelioides var. subpauperatus,Rosaceae,Rubus,Indigenous Endemic,Vascular,Not Selected,Vine,Bush lawyer; T?tar?moa;,Not Threatened,0,0,0.0000,0.0000
Rubus schmidelioides x squarrosus,,,Indigenous Endemic,Vascular,Not Selected,Vine,,Unknown,0,0,0.0000,0.0000
Rubus squarrosus,Rosaceae,Rubus,Indigenous Endemic,Vascular,Not Selected,Vine,Leafless lawyer; Yellow-prickled lawyer;,Not Threatened,66,74,0.0000,0.0001
Rumex acetosa,Polygonaceae,Rumex,Exotic,Vascular,Unclassified,Forb,Common sorrel; Garden sorrel; Sour dock;,Not threatened (assumed),1,1,0.0000,0.0000
Rumex acetosella,Polygonaceae,Rumex,Exotic,Vascular,Unclassified,Forb,Sheep's sorrel;,Not threatened (assumed),1800,1990,0.0000,0.0010
Rumex brownii,Polygonaceae,Rumex,Exotic,Vascular,Unclassified,Forb,Hooked dock; Swamp dock;,Not threatened (assumed),1,1,0.0000,0.0000
Rumex conglomeratus,Polygonaceae,Rumex,Exotic,Vascular,Unclassified,Forb,clustered dock;,Not threatened (assumed),11,11,0.0000,0.0000
Rumex crispus,Polygonaceae,Rumex,Exotic,Vascular,Unclassified,Forb,Curled dock; Yellow dock;,Not threatened (assumed),161,174,0.0000,0.0001
Rumex flexuosus,Polygonaceae,Rumex,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),18,19,0.0000,0.0000
Rumex neglectus,Polygonaceae,Rumex,Indigenous Endemic,Vascular,Unclassified,Forb,Shore dock;,Not Threatened,4,4,0.0000,0.0000
Rumex obtusifolius,Polygonaceae,Rumex,Exotic,Vascular,Unclassified,Forb,broad-leaved dock; Paenehua; Paewhenua;,Not threatened (assumed),57,83,0.0000,0.0000
Rumex pulcher,Polygonaceae,Rumex,Exotic,Vascular,Unclassified,Forb,fiddle dock;,Not threatened (assumed),18,28,0.0000,0.0000
Rumex sagittatus,Polygonaceae,Rumex,Exotic,Vascular,Unclassified,Forb,Climbing dock;,Not threatened (assumed),1,1,0.0000,0.0000
Rumohra adiantiformis,Dryopteridaceae,Rumohra,Indigenous Non-Endemic,Vascular,Not Selected,Fern,climbing shield fern; Iron fern; leather fern; leatherleaf fern; leathery shield fern;,Not Threatened,913,1554,0.0000,0.0006
Ruppia megacarpa,Ruppiaceae,Ruppia,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Rytidosperma australe,Gramineae,Erythranthera,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,52,55,0.0000,0.0000
Rytidosperma biannulare,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,0,0,0.0000,0.0000
Rytidosperma buchananii,Gramineae,Notodanthonia,Indigenous Endemic,Vascular,Unclassified,Graminoid,slender danthonia;,Declining,160,162,0.0000,0.0000
Rytidosperma caespitosum,Gramineae,Notodanthonia,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),1,1,0.0000,0.0000
Rytidosperma carphoides,Gramineae,Rytidosperma,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),3,4,0.0000,0.0000
Rytidosperma clavatum,Gramineae,Notodanthonia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,108,146,0.0000,0.0003
Rytidosperma corinum,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,4,4,0.0000,0.0000
Rytidosperma erianthum,Gramineae,Rytidosperma,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Rytidosperma exiguum,Gramineae,Pyrrhanthera,Indigenous Endemic,Vascular,Unclassified,Graminoid,Mountain twitch;,Declining,24,35,0.0000,0.0000
Rytidosperma gracile,Gramineae,Notodanthonia,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,599,746,0.0000,0.0004
Rytidosperma laeve,Gramineae,Rytidosperma,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Rytidosperma maculatum,Gramineae,Notodanthonia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Data Deficient,3,3,0.0000,0.0000
Rytidosperma merum,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Declining,14,15,0.0000,0.0000
Rytidosperma nigricans,Gramineae,Notodanthonia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,63,67,0.0000,0.0000
Rytidosperma nudum,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Naturally Uncommon,0,0,0.0000,0.0000
Rytidosperma penicillatum,Gramineae,Rytidosperma,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),23,24,0.0000,0.0000
Rytidosperma petrosum,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Naturally Uncommon,0,0,0.0000,0.0000
Rytidosperma pilosum,Gramineae,Notodanthonia,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Rytidosperma pulchrum,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Naturally Uncommon,0,0,0.0000,0.0000
Rytidosperma pumilum,Gramineae,Erythranthera,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,344,363,0.0000,0.0003
Rytidosperma racemosum,Gramineae,Rytidosperma,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),112,146,0.0000,0.0004
Rytidosperma setifolium,Gramineae,Notodanthonia,Indigenous Endemic,Vascular,Unclassified,Graminoid,Bristle tussock; Mountain danthonia;,Not Threatened,1091,1273,0.0000,0.0020
Rytidosperma telmaticum,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Unknown,,Declining,0,0,0.0000,0.0000
Rytidosperma tenue,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Rytidosperma tenuius,Gramineae,Rytidosperma,Exotic,Vascular,Unclassified,Unknown,,Not threatened (assumed),0,0,0.0000,0.0000
Rytidosperma thomsonii,Gramineae,Notodanthonia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Declining,26,26,0.0000,0.0000
Rytidosperma unarede,Gramineae,Notodanthonia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,57,65,0.0000,0.0001
Rytidosperma viride,Gramineae,Rytidosperma,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,10,12,0.0000,0.0000
Sacciolepis indica,Gramineae,Sacciolepis,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Saccogynidium australe,Acrobolbaceae,Saccogynidium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Saccogynidium decurvum,Acrobolbaceae,Saccogynidium,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Saelania glaucescens,Ditrichaceae,Saelania,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Sagina apetala,Caryophyllaceae,Sagina,Exotic,Vascular,Unclassified,Forb,Annual pearlwort; Pearlwort;,Not threatened (assumed),140,141,0.0000,0.0000
Sagina procumbens,Caryophyllaceae,Sagina,Exotic,Vascular,Unclassified,Forb,Procumbent pearlwort; Spreading pearlwort;,Not threatened (assumed),120,143,0.0000,0.0000
Salicornia quinqueflora,Amaranthaceae,Salicornia,Indigenous Non-Endemic,Vascular,Unclassified,Forb,glasswort; Ureure;,Not threatened (assumed),47,49,0.0000,0.0004
Salicornia quinqueflora subsp. quinqueflora,Amaranthaceae,Salicornia,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Salix alba,Salicaceae,Salix,Exotic,Vascular,Unclassified,Tree,golden willow; silver willow; white willow;,Not threatened (assumed),3,3,0.0000,0.0000
Salix babylonica,Salicaceae,Salix,Exotic,Vascular,Unclassified,Tree,Babylon weeping willow; Napoleon's willow; weeping willow;,Not threatened (assumed),5,5,0.0000,0.0000
Salix caprea,Salicaceae,Salix,Exotic,Vascular,Unclassified,Tree,goat willow; great sallow; great willow; hoary willow; pussy willow;,Not threatened (assumed),1,1,0.0000,0.0000
Salix cinerea,Salicaceae,Salix,Exotic,Vascular,Unclassified,Tree,grey sallow; grey willow;,Not threatened (assumed),29,35,0.0002,0.0001
Salix eleagnos,Salicaceae,Salix,Exotic,Vascular,Unclassified,Shrub,bitter willow; hoary willow; rosemary willow;,Not threatened (assumed),2,3,0.0000,0.0000
Salix matsudana,Salicaceae,Salix,Exotic,Vascular,Unclassified,Tree,corkscrew willow; dragon claw willow; Matsudana willow; Peking willow; tortured willow;,Not threatened (assumed),0,0,0.0000,0.0000
Salix myricoides,Salicaceae,Salix,Exotic,Vascular,Unclassified,Shrub,broadleaf willow;,Not threatened (assumed),2,2,0.0000,0.0000
Salix purpurea,Salicaceae,Salix,Exotic,Vascular,Unclassified,Shrub,basket willow; purple osier; purple willow;,Not threatened (assumed),3,3,0.0000,0.0000
