Species,Family,Genus,BioStatus,PlantType,Palatibility,GrowthForm,VernacularNames,ThreatenedStatus,NumPlots,NumObs,Cover,CoverCombined
Leucodermia leucomelos,Physciaceae,Heterodermia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leucogenes grandiceps,Compositae,Leucogenes,Indigenous Endemic,Vascular,Unclassified,Forb,South Island edelweiss;,Not Threatened,123,165,0.0000,0.0001
Leucogenes leontopodium,Compositae,Leucogenes,Indigenous Endemic,Vascular,Unclassified,Forb,North Island edelweiss;,Not Threatened,3,4,0.0000,0.0000
Leucopogon fasciculatus,Ericaceae,Cyathodes,Indigenous Endemic,Vascular,Avoided,Shrub,Hukihukiraho; Kaikaiatua; M?nuka-rauriki; Mikimiki; Mingi; Mingimingi; Ngohungohu; Tall mingimingi; T?tara; T?mingi;,Not Threatened,2207,3176,0.0080,0.0056
Leucopogon fraseri var. muscosus,Ericaceae,Cyathodes,Unknown,Vascular,Unclassified,Shrub,,Not threatened (assumed),0,0,0.0000,0.0000
Leucopogon parviflorus,Ericaceae,Cyathodes,Indigenous Non-Endemic,Vascular,Unclassified,Shrub,,Naturally Uncommon,3,3,0.0000,0.0000
Leycesteria formosa,Caprifoliaceae,Leycesteria,Exotic,Vascular,Unclassified,SubShrub,himalaya honeysuckle;,Not threatened (assumed),64,89,0.0002,0.0001
Leymus arenarius,Gramineae,Leymus,Exotic,Vascular,Unclassified,Graminoid,lyme grass;,Not threatened (assumed),0,0,0.0000,0.0000
Leymus racemosus,Gramineae,Leymus,Exotic,Vascular,Unclassified,Graminoid,Siberian lyme grass;,Not threatened (assumed),0,0,0.0000,0.0000
Libertia edgariae,Iridaceae,Libertia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Naturally Uncommon,1,2,0.0000,0.0000
Libertia grandiflora,Iridaceae,Libertia,Indigenous Endemic,Vascular,Unclassified,Graminoid,M?nga-a-Huripapa; Mikoikoi; New Zealand iris; T?k?uki; T?rutu;,Not Threatened,36,46,0.0000,0.0000
Libertia ixioides,Iridaceae,Libertia,Indigenous Endemic,Vascular,Unclassified,Graminoid,M?nga-a-Huripapa; Mikoikoi; New Zealand iris; T?k?uki; T?rutu;,Not Threatened,157,183,0.0000,0.0001
Libertia micrantha,Iridaceae,Libertia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,492,788,0.0003,0.0002
Libertia mooreae,Iridaceae,Libertia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,2,3,0.0000,0.0000
Libertia peregrinans,Iridaceae,Libertia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Nationally Vulnerable,9,9,0.0000,0.0000
Libertia pulchella,Iridaceae,Libertia,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),79,120,0.0000,0.0000
