Species,Aspect Eastness,Aspect Northness,BIOEnd1,BIOEnd12,BIOEnd15,BIOEnd3,BIOEnd7,DistanceToNearestRiver,Elevation,Latitude,RedDeer,Slope,WindExposition,pH
Leptospermum scoparium,0.1158309134666635,-0.1092087536343528,-0.6658281014077766,0.028016761255648,-0.0437443176704918,-0.3196361591542856,0.4107868923879303,-0.0167523568426768,0.5719846044613913,-0.5249961038364083,-0.3230965077675671,0.3746607925336391,0.2243744054605178,-0.1574458718033101
Leucopogon fasciculatus,0.0220103438769383,-0.1881452591491807,-0.4645831923288726,-0.0740785816501026,-0.0272370183769153,-0.2123733469753997,0.1355457790889709,-0.2660332800545231,0.4047524329094044,-0.3881249704391651,-0.1676208862558483,0.2576686565039499,0.2786762515746359,-0.1148634166357685
Lophozonia menziesii,-0.0303714840560505,0.1035377304901644,0.5613684561911214,-0.0709476311195985,0.1691533902200254,0.0452559361958403,-0.0765581249284677,0.0113804674921578,-0.1563412638172528,0.7122080491455567,-0.0127443574131866,-0.1254564952829313,0.09907086649429,0.382947414809495
Melicytus ramiflorus,-0.0120500018193437,-0.0886419296873288,0.1346045236503008,-0.6000197728441703,0.376382352226646,0.2314776550072893,-0.0854701431386943,0.1559232353253122,-0.2499891293114262,-0.1778875999282549,0.412760031608561,-0.2413121188529039,-0.0659670345456197,0.4700482005870284
Metrosideros fulgens,0.0025353973550481,-0.033341297147782,-0.1517469553629193,-0.0899138676759381,-0.1645273282721043,-0.6653302780109297,-0.593912921185102,0.2130266494413549,0.4627906435426345,0.2722115828626748,-0.0203448167650028,0.047210590748301,0.5213102818815822,-0.0799409896802578
Metrosideros umbellata,0.1098461137235622,-0.0018888397271498,-0.2653302935085476,0.752073630980948,-0.477121267606039,-0.4759789053592038,-0.2846218739281511,0.0347645164190844,0.2520597286872176,-0.0632208928006317,-0.2383059723204974,0.3494849932729251,0.0676789473044653,-0.5626131705581501
Myrsine australis,0.0856005176896044,-0.2003244645661819,0.2678115573809557,-0.0696815809629668,0.278527388321168,0.2827641182911242,0.1000255901620765,-0.0787302589608275,-0.312587501813587,0.0592361430303861,0.6141309428779058,-0.154139571420826,-0.3760749033681597,0.161482446558355
Myrsine divaricata,-0.1099547779057275,0.0540098614192471,-0.3527207518238037,0.4666740426068017,-0.2903127079688741,-0.7110658195858204,-0.4473541842565741,0.1012444404019729,0.4672988085830898,0.0105847310251279,-0.2952882048016885,0.5581753484523877,0.2377305180256025,-0.2844784835377865
Myrsine salicina,-0.1912078439231596,0.1698582655852617,0.0296167925362166,0.3486198053952128,-0.0365856440368698,0.4215661991240602,0.3919929672384774,-0.0614629388377179,-0.3369201513729983,-0.415793300231598,0.0168903860825878,-0.025917081408045,-0.4456732953295668,-0.2489313515845589
Neomyrtus pedunculata,-0.1181846315844925,-0.075598142624277,0.1438933317138597,0.1889373002003375,0.2289845686410715,0.047980766169696,0.1844220972991135,-0.1888117330860684,-0.2057723981747598,-0.0551334271984392,-0.0434643798759236,0.0814618007128061,-0.5388298472981647,-0.0583645069885069
Olearia rani,-0.0142758507451155,-0.1542266855035157,0.5628661258691032,0.0922024525846495,0.1009453775364901,-0.0336543780379271,-0.4963977320167119,0.1238414191181528,-0.3441945964570418,0.561119485722053,0.4559198432843966,-0.113047005552705,-0.0443934059276852,-0.0475488340846946
Pectinopitys ferruginea,0.2069895571157042,0.0327419508512633,-0.1721073411993331,-0.0554880556452831,-0.0353268196735356,0.2761969715725036,0.4420003395084818,-0.0096476368917448,0.0025043800394883,-0.2137624644067068,0.0969191523222858,-0.2576039761175278,-0.2278954235566572,0.0206127387821368
Pennantia corymbosa,-0.0518156862972654,-0.1265345394556184,-0.2664783804981178,0.1963198667001411,-0.0629808400936531,-0.3807894936334707,0.0077136061921098,-0.1288073625021625,0.2692802840049482,-0.1796647610499308,-0.4551278274727864,0.6034405487723192,-0.1436279424017902,-0.2311924315851277
Phyllocladus alpinus,0.0339559236181142,-0.0302899565085171,-0.2010256142997129,0.0537761641722233,0.1246580995865324,0.0604124040203016,0.2223156161513856,-0.1570512702271037,0.0168959940847952,-0.4292411440556952,-0.0903749803868787,0.1483365117665181,-0.2605720707585756,-0.0264401401610413
Piper excelsum,-0.0669411976472081,-0.0346837775264929,-0.4754703849429224,0.1170543084878748,-0.1141341268953158,-0.1712661331485086,0.0599114382213019,-0.1072358637745316,0.3584568682581125,-0.4619916108975098,-0.5599033193634196,0.6770368466628637,0.1081673776445941,-0.2501055842265642
Podocarpus laetus,-0.0685823543185255,-0.0599702520197829,0.6442646074181723,-0.2592985088632301,0.287661575666862,0.3139346581722783,-0.0580559237036895,-0.0740979934914839,-0.4088375540693056,0.6449578953909423,0.1370203919154443,-0.3212396386051068,-0.134233144415975,0.3670834090542949
Pseudopanax arboreus,0.0092470104777985,-0.1883351560423862,0.1210243805741075,-0.6681805367613611,0.4717759896274424,0.3558233034703791,0.3590644985062656,0.0540202130304391,-0.2170453794870334,-0.1558001230125625,0.220855421217892,-0.1950661787171034,-0.0977626544029338,0.6394237474570952
Pseudopanax colensoi,-0.0857377500554493,-0.2795818280157708,0.2611832911485618,-0.2057662636475595,0.0753467107464552,0.3061790383000383,0.1960943357969465,-0.1578787737995851,-0.1446111321604531,0.3667002136354477,0.0598098212175599,-0.2120115456078117,-0.2234468313188076,0.324273306402755
Pseudopanax crassifolius,-0.0782872611169396,-0.0101938922834723,0.2627240030065026,0.1539707547793514,0.1455578026538795,-0.1936230036552034,0.0161307654560977,-0.0574038114420471,0.1471789892204341,0.5707113941319701,-0.1597749320372423,0.2341249026681323,0.0984661222605948,0.0407686059598833
Pseudowintera axillaris,-0.1508971252766142,0.058884185012239,-0.7546179228846447,0.1901694615439307,-0.4068249077059316,-0.5936408659192862,-0.1069394251391797,0.1464394063513645,0.788971852492866,-0.33914898211958,-0.3525910523957326,0.4803014246608479,0.5480099222894073,-0.394964148450833
Pseudowintera colorata,0.2656824620139326,-0.0772759094936082,-0.4449072324237649,0.310608640824748,-0.3268084721622896,-0.4263090712678735,-0.1565298043756328,-0.0616386120232399,0.4691799567735812,-0.1371227699676163,-0.2046313228359967,0.5082984042089801,0.2029333592558524,-0.3109230368767141
Pterophylla racemosa,0.0233073030426957,-0.0070748020467528,-0.3918760279733785,0.713747080226885,-0.3113048035725905,-0.454152473612157,-0.1515032164978135,-0.0128052364504475,0.297266032428668,-0.3469175633504917,-0.1693513484158564,0.4595527198585838,0.0304666234385496,-0.3440505308794761
Quintinia acutifolia,0.0314773580279336,0.0095812416853806,-0.5932468920788468,0.6761375772515609,-0.4263760879060299,-0.3696945470025569,0.0301723939166883,-0.2726102353889024,0.4514299973123375,-0.4897966220250516,-0.1880988348188884,0.440769862386876,-0.0268562110042278,-0.459470361322601
Quintinia serrata,-0.0237768407104109,0.0541846178141449,-0.2193914476833661,0.5645365209799077,-0.1987140859144936,-0.2370915152703329,-0.1931911306420969,0.0320136560018578,0.1589665968564934,-0.3147240743532057,-0.0226817014562389,0.212836349539466,0.0993862109890341,-0.3309176173990764
Raukaua simplex,0.2514130649409731,-0.3155498520786712,0.183436866968137,-0.1731717576918768,0.1708214702564783,0.0033496004225237,0.2400877091785448,-0.1027112546995318,0.1441727696307751,0.4584008716319547,-0.1048688474520718,0.056672294790774,0.0673614126285693,0.2046718815483224
Schefflera digitata,-0.1297847403593288,0.0457635463592343,0.6753466139618834,-0.30391595159317,0.3025457837942458,0.2657548685428666,-0.0936023141479235,-0.0039946894860128,-0.4080696991289164,0.6077013054309438,0.3537652296435891,-0.3553611633185177,-0.1688834071635327,0.3993399382309542
