Species,Aspect Eastness,Aspect Northness,BIOEnd1,BIOEnd12,BIOEnd15,BIOEnd3,BIOEnd7,DistanceToNearestRiver,Elevation,Latitude,RedDeer,Slope,WindExposition,pH
Geniostoma ligustrifolium,-0.0149685533427068,0.020258768903793,0.7069663572921003,-0.2516304757760894,0.3467210574570535,0.2914190617953115,-0.2490623205911681,0.0549402117587597,-0.765764568314879,0.2397567733884132,0.4936802621372234,-0.32584332972463,-0.3878397519176261,0.405689080806642
Griselinia littoralis,-0.0628288761258485,-0.006914605101991,-0.0147731098702753,-0.2808242453167196,0.0756377162433884,0.1885594820617977,0.1609835047746789,-0.0278935984291095,-0.0441023653300427,-0.0785473810198347,0.0009814148056681,-0.2330743795303788,-0.0009680654507753,0.349781690855622
Halocarpus biformis,-0.134148177042569,-0.2251218791178224,-0.4959949132421871,0.3833577690593091,-0.4301876996828018,-0.6625910215265775,-0.2442885573571236,-0.041625360684479,0.569896525100389,-0.0647242307853666,-0.238608086140796,0.5807313950529248,0.4004046566071231,-0.4440118512286436
Hedycarya arborea,-0.0466655598422624,-0.1347565429585695,0.4767558067138502,-0.3915862450310977,0.3219019089730739,0.0820312720904764,-0.2310500099801846,0.0944384956121135,-0.4745827026097747,0.2314838285742587,0.3251088460351386,-0.2704454630183097,-0.2749139176533672,0.3631549619675151
Ixerba brexioides,-0.0322587139138754,0.1013143891134001,-0.7246485012456773,0.0157090127970538,-0.2872899626461072,-0.207676166990303,0.3001257929417639,0.0444579526868035,0.5966505188336263,-0.5173229396870296,-0.6724470037580794,0.2698073319611976,0.0909151559696299,-0.3035493484659067
Knightia excelsa,0.0176241912103088,0.0257327346212653,-0.0921786919300711,-0.1392811340244954,0.0168555324633883,-0.0301608564424433,0.0657770193985874,0.114354204580791,0.1237514537899504,-0.0235791474255153,-0.0815891109645685,0.0254590468566817,0.1592835410919044,0.0137055635762085
Kunzea ericoides,-0.1522010634923181,-0.04550304391173,-0.2716230974449407,0.213523036621327,-0.3523887094617721,-0.1206030522851978,-0.0663721573562144,-0.2092241753374629,0.1123743563498475,-0.2755754619047936,-0.0575902822492109,0.0111382264288265,0.0713089080375753,-0.1678313882022963
Laurelia novae-zelandiae,0.0491705883592163,-0.1193335559335524,-0.0075717566688971,0.1062823752700391,0.0678589975633894,0.118060102618792,0.1103611351796176,0.0502094225169749,-0.0784753634747301,-0.0963656556777149,-0.0423536200132957,0.0299618201845001,-0.1508773950261453,0.0749046770524984
Leptecophylla juniperina,-0.0380571954176064,-0.2256894235670699,0.0510466267969589,-0.0607098039104801,-0.129375579184947,-0.1471081870633824,-0.2732971120370624,-0.038925999977869,0.1075152514856982,0.2563471284958986,-0.1508538430840743,0.1533297300625526,0.2016380633591189,-0.0329023539003143
Leptospermum scoparium,0.1534111450221698,-0.1104694804973489,-0.6567547333977961,0.0212396156923589,-0.0344528746092027,-0.282954101347474,0.4156719872541373,-0.0610192084653174,0.5426479324280014,-0.5082631143091985,-0.3901552538677796,0.3549682207986376,0.1635980556188662,-0.1530755165775045
Leucopogon fasciculatus,0.1284312241683897,-0.0830600195871757,-0.4271202846333047,-0.1010347982126253,0.010325125887404,-0.1526005726364947,0.2459321724960227,-0.4114305573608667,0.3703035147204599,-0.3482669955996674,-0.1818027266509504,0.254264579389136,0.2218036473998224,-0.0566229923568467
Litsea calicaris,-0.4321309067999002,-0.0934547569131359,-0.4272475296839274,0.2741413786486082,-0.3065381308901517,-0.4282180483032674,-0.2046157147637742,0.0143592042145996,0.4936836422123744,-0.1680546711829753,-0.3704833807580541,0.3904960828419929,0.3411518481320331,-0.3046587447063604
Lophozonia menziesii,-0.1034840464951781,0.0105400708751122,0.6282478606262675,0.0187285522657814,0.264015110539828,0.2896858530025066,-0.0488373323772807,-0.0383320481974384,-0.4749477150084544,0.4165482039082915,0.0986397317746996,-0.261605441408138,-0.1741766354699903,0.3322204058550278
Melicytus ramiflorus,0.0208674109335626,-0.0380176094211379,0.3109863069419412,-0.721462241829016,0.509035933610798,0.3215884952787347,0.047083781222107,0.0765014783973616,-0.3698703471185208,-0.0006624491567898,0.4292068755940322,-0.2734622006722324,-0.1814208540553265,0.5009487039362029
Metrosideros diffusa,0.1767491847776949,-0.1181684556509063,-0.2316547143163333,0.0460538024750616,-0.2519566727504987,-0.4540985864439441,-0.2384605952620505,0.0406673547965116,0.4043077784306758,0.140870942920675,-0.2483344227763041,0.0966907690685469,0.3477320896613277,-0.2488742048015599
Metrosideros fulgens,0.0306846741241649,0.0157406341737293,-0.3632127285907121,-0.0280584758710373,-0.258563144807627,-0.7261404136161409,-0.4137271739496676,0.1056731389483794,0.5893568021496972,0.1035567274891312,-0.1817102504781089,0.1422184781791473,0.5150660688593632,-0.1735909744550891
Metrosideros robusta,-0.33373091376965,-0.0725186096088808,-0.0580780819430985,-0.1311849204267204,-0.0398346953311557,-0.1894047399584594,-0.0870333988138568,0.1663688116889068,-0.1348412683851823,-0.3274398114733285,-0.1333523031080014,-0.152093972880829,-0.1586292705319826,0.0658680230289846
Metrosideros umbellata,-0.0865633560209972,-0.0433699605093614,-0.4438919373332841,0.5936981528330229,-0.5856590153860276,-0.4066172773501783,0.0410798288745319,-0.0402476334090612,0.4464926590333893,-0.1168727181558938,-0.2396944402637034,0.3742882466555408,0.1278071749450036,-0.590435299321977
Myrsine australis,0.0484234735818503,-0.1387470247593444,-0.0451068010961145,-0.0138625578747662,-0.0175788974682678,0.0856833128646641,0.1338318251308426,-0.1022768132399103,0.0084134071955685,-0.0189178393072905,0.1315603757354664,-0.0756669976054652,-0.1561361700649867,-0.0775870088690118
Myrsine divaricata,-0.0610286408194822,-0.0536488076620431,0.2583151007970286,0.00985757049789,0.2372107788286967,-0.068169342182813,-0.0059790671769881,-0.0549249371943523,-0.0520777251396484,0.2947684970283533,0.0298550497852385,0.091678074190405,-0.0137632366273456,0.287899223626573
Myrsine salicina,-0.3590867781750719,0.1611486819053924,-0.1197478507318223,0.2159383054143464,-0.0907245961643679,0.4514764594767366,0.5396242192885394,-0.1164009027969235,-0.0493686836802921,-0.258961812614367,-0.0859784729020039,0.0572962428339348,-0.2492224263281322,-0.2267795603304759
Neomyrtus pedunculata,-0.1899795988266671,-0.099338547211869,0.1431378670976882,0.0895491077241874,0.1762162212874288,0.0829243978542055,0.102037778648336,-0.1576415075955174,-0.1766784210317099,-0.0423220396367416,-0.0134716834623754,0.1242412753376256,-0.2644759109410817,-0.0244413093574733
Nestegis cunninghamii,0.047266613743853,-0.0592262930344145,-0.0296364396683525,-0.1173022577757305,0.1598637847716278,0.3043873141399569,0.203624344381507,-0.1567062100681002,-0.1765675891760326,-0.3455846763594328,-0.00936728241019,0.0517114321966265,-0.3560638222283213,0.0293811743656245
Olearia rani,0.0793653884482438,-0.3573926126678656,0.4932933378983462,0.118640178922897,0.0447566055159903,-0.0658760881437184,-0.4829265229754204,0.056846247365869,-0.3814843409054946,0.3473599689802331,0.4040329055077829,0.0408446885320809,-0.0713803731609213,-0.018912941610706
